name,party,electorate,chamber,aph_id
Mr Basem Abdo MP,Australian Labor Party,"Calwell, Victoria",House,
Hon Anthony Albanese MP,Australian Labor Party,"Grayndler, New South Wales",House,
Ms Mary Aldred MP,Liberal Party of Australia,"Monash, Victoria",House,
Senator Penny Allman-Payne,Australian Greens,Queensland,Senate,
Hon Dr Anne Aly MP,Australian Labor Party,"Cowan, Western Australia",House,
Ms Ash Ambihaipahar MP,Australian Labor Party,"Barton, New South Wales",House,
Senator Michelle Ananda-Rajah,Australian Labor Party,Victoria,Senate,
Senator Alex Antic,Liberal Party of Australia,South Australia,Senate,
Senator Wendy Askew,Liberal Party of Australia,Tasmania,Senate,
Senator the Hon Tim Ayres,Australian Labor Party,New South Wales,Senate,
Senator Ralph Babet,United Australia Party,Victoria,Senate,
Mr David Batt MP,Liberal National Party of Queensland,"Hinkler, Queensland",House,
Ms Angie Bell MP,Liberal National Party of Queensland,"Moncrieff, Queensland",House,
Senator Sean Bell,One Nation,New South Wales,Senate,
Ms Jodie Belyea MP,Australian Labor Party,"Dunkley, Victoria",House,
Ms Carol Berry MP,Australian Labor Party,"Whitlam, New South Wales",House,
Mr Sam Birrell MP,The Nationals,"Nicholls, Victoria",House,
Senator Leah Blyth,Liberal Party of Australia,South Australia,Senate,
Ms Nicolette Boele MP,Independent,"Bradfield, New South Wales",House,
Hon Chris Bowen MP,Australian Labor Party,"McMahon, New South Wales",House,
Mr Colin Boyce MP,Liberal National Party of Queensland,"Flynn, Queensland",House,
Senator Andrew Bragg,Liberal Party of Australia,New South Wales,Senate,
Ms Jo Briskey MP,Australian Labor Party,"Maribyrnong, Victoria",House,
Senator Slade Brockman,Liberal Party of Australia,Western Australia,Senate,
Senator the Hon Carol Brown,Australian Labor Party,Tasmania,Senate,
Hon Scott Buchholz MP,Liberal National Party of Queensland,"Wright, Queensland",House,
Hon Tony Burke MP,,"Watson, New South Wales",House,
Mr Matt Burnell MP,Australian Labor Party,"Spence, South Australia",House,
Mr Josh Burns MP,Australian Labor Party,"Macnamara, Victoria",House,
Hon Mark Butler MP,Australian Labor Party,"Hindmarsh, South Australia",House,
Ms Alison Byrnes MP,Australian Labor Party,"Cunningham, New South Wales",House,
Senator Ross Cadell,The Nationals,New South Wales,Senate,
Mr Cameron Caldwell MP,Liberal National Party of Queensland,"Fadden, Queensland",House,
Ms Julie-Ann Campbell MP,Australian Labor Party,"Moreton, Queensland",House,
Senator the Hon Matthew Canavan,The Nationals,Queensland,Senate,
Senator the Hon Michaelia Cash,Liberal Party of Australia,Western Australia,Senate,
Mr Jamie Chaffey MP,The Nationals,"Parkes, New South Wales",House,
Hon Dr Jim Chalmers MP,Australian Labor Party,"Rankin, Queensland",House,
Senator Claire Chandler,Liberal Party of Australia,Tasmania,Senate,
Ms Kate Chaney MP,Independent,"Curtin, Western Australia",House,
Hon Dr Andrew Charlton MP,Australian Labor Party,"Parramatta, New South Wales",House,
Hon Darren Chester MP,The Nationals,"Gippsland, Victoria",House,
Ms Lisa Chesters MP,Australian Labor Party,"Bendigo, Victoria",House,
Senator the Hon Anthony Chisholm,,Queensland,Senate,
Senator Raff Ciccone,,Victoria,Senate,
Hon Jason Clare MP,Australian Labor Party,"Blaxland, New South Wales",House,
Ms Sharon Claydon MP,Australian Labor Party,"Newcastle, New South Wales",House,
Ms Claire Clutterham MP,Australian Labor Party,"Sturt, South Australia",House,
Ms Renee Coffey MP,Australian Labor Party,"Griffith, Queensland",House,
Ms Libby Coker MP,Australian Labor Party,"Corangamite, Victoria",House,
Senator the Hon Richard Colbeck,Liberal Party of Australia,Tasmania,Senate,
Senator Jessica Collins,Liberal Party of Australia,New South Wales,Senate,
Hon Julie Collins MP,Australian Labor Party,"Franklin, Tasmania",House,
Ms Emma Comer MP,Australian Labor Party,"Petrie, Queensland",House,
Mr Pat Conaghan MP,The Nationals,"Cowper, New South Wales",House,
Hon Pat Conroy MP,Australian Labor Party,"Shortland, New South Wales",House,
Ms Kara Cook MP,Australian Labor Party,"Bonner, Queensland",House,
Ms Trish Cook MP,Australian Labor Party,"Bullwinkel, Western Australia",House,
Senator Dorinda Cox,Australian Labor Party,Western Australia,Senate,
Senator Lisa Darmanin,Australian Labor Party,Victoria,Senate,
Hon Milton Dick MP,,"Oxley, Queensland",House,
Senator Josh Dolega,Australian Labor Party,Tasmania,Senate,
Senator Richard Dowling,Australian Labor Party,Tasmania,Senate,
Ms Mary Doyle MP,Australian Labor Party,"Aston, Victoria",House,
"Hon Mark Dreyfus KC, MP",Australian Labor Party,"Isaacs, Victoria",House,
Senator the Hon Jonathon Duniam,Liberal Party of Australia,Tasmania,Senate,
Hon Justine Elliot MP,Australian Labor Party,"Richmond, New South Wales",House,
Senator the Hon Don Farrell,Australian Labor Party,South Australia,Senate,
Senator Mehreen Faruqi,Australian Greens,New South Wales,Senate,
Ms Cassandra Fernando MP,Australian Labor Party,"Holt, Victoria",House,
Ms Ali France MP,Australian Labor Party,"Dickson, Queensland",House,
Dr Mike Freelander MP,Australian Labor Party,"Macarthur, New South Wales",House,
Mr Tom French MP,Australian Labor Party,"Moore, Western Australia",House,
Senator the Hon Katy Gallagher,,Australian Capital Territory,Senate,
Dr Carina Garland MP,Australian Labor Party,"Chisholm, Victoria",House,
Hon Andrew Gee MP,Independent,"Calare, New South Wales",House,
Mr Steve Georganas MP,Australian Labor Party,"Adelaide, South Australia",House,
Senator Varun Ghosh,Australian Labor Party,Western Australia,Senate,
Hon Andrew Giles MP,Australian Labor Party,"Scullin, Victoria",House,
Hon Patrick Gorman MP,Australian Labor Party,"Perth, Western Australia",House,
"Mr Luke Gosling OAM, MP",Australian Labor Party,"Solomon, Northern Territory",House,
Senator the Hon Nita Green,Australian Labor Party,Queensland,Senate,
Mr Matt Gregg MP,Australian Labor Party,"Deakin, Victoria",House,
Senator Karen Grogan,,South Australia,Senate,
Dr Helen Haines MP,Independent,"Indi, Victoria",House,
Mr Garth Hamilton MP,Liberal National Party of Queensland,"Groom, Queensland",House,
Senator Pauline Hanson,One Nation,Queensland,Senate,
Senator Sarah Hanson-Young,Australian Greens,South Australia,Senate,
Hon Andrew Hastie MP,Liberal Party of Australia,"Canning, Western Australia",House,
Hon Alex Hawke MP,Liberal Party of Australia,"Mitchell, New South Wales",House,
Senator the Hon Sarah Henderson,Liberal Party of Australia,Victoria,Senate,
Hon Julian Hill MP,Australian Labor Party,"Bruce, Victoria",House,
Senator Steph Hodgins-May,Australian Greens,Victoria,Senate,
Hon Kevin Hogan MP,The Nationals,"Page, New South Wales",House,
Mr Rowan Holzberger MP,Australian Labor Party,"Forde, Queensland",House,
Senator the Hon Jane Hume,,Victoria,Senate,
Hon Ed Husic MP,Australian Labor Party,"Chifley, New South Wales",House,
Ms Madonna Jarrett MP,Australian Labor Party,"Brisbane, Queensland",House,
Ms Alice Jordan-Baird MP,Australian Labor Party,"Gorton, Victoria",House,
